"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,12931,12931,256,104,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_LDS",0.00000000e+00,493341164651173,493341164653853
1,1,"Agent 2",1,12931,12931,256,104,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341164651173,493341164653853
2,2,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341164946694,493341164949934
2,2,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341164946694,493341164949934
3,3,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165063575,493341165066015
3,3,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165063575,493341165066015
4,4,"Agent 2",1,12931,12931,256,104,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_LDS",0.00000000e+00,493341165245416,493341165246696
4,4,"Agent 2",1,12931,12931,256,104,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned int>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165245416,493341165246696
5,5,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165298736,493341165301456
5,5,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165298736,493341165301456
6,6,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165403137,493341165405697
6,6,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165403137,493341165405697
7,7,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165502458,493341165504858
7,7,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165502458,493341165504858
8,8,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165615498,493341165617978
8,8,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165615498,493341165617978
9,9,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165721019,493341165723899
9,9,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165721019,493341165723899
10,10,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165822260,493341165824740
10,10,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165822260,493341165824740
11,11,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341165921100,493341165923660
11,11,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341165921100,493341165923660
12,12,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166022501,493341166025061
12,12,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166022501,493341166025061
13,13,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166122982,493341166125862
13,13,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166122982,493341166125862
14,14,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166222102,493341166224622
14,14,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166222102,493341166224622
15,15,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166316223,493341166318663
15,15,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166316223,493341166318663
16,16,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166414864,493341166417344
16,16,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166414864,493341166417344
17,17,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166507304,493341166510144
17,17,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166507304,493341166510144
18,18,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166610825,493341166613305
18,18,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166610825,493341166613305
19,19,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166702785,493341166705266
19,19,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166702785,493341166705266
20,20,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166804826,493341166807426
20,20,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166804826,493341166807426
21,21,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341166908427,493341166911267
21,21,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341166908427,493341166911267
22,22,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167005267,493341167007787
22,22,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167005267,493341167007787
23,23,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167109548,493341167111868
23,23,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167109548,493341167111868
24,24,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167206669,493341167208989
24,24,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167206669,493341167208989
25,25,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167307029,493341167309789
25,25,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167307029,493341167309789
26,26,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167404070,493341167406430
26,26,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167404070,493341167406430
27,27,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167509031,493341167511471
27,27,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167509031,493341167511471
28,28,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167609991,493341167612231
28,28,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167609991,493341167612231
29,29,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167712352,493341167714992
29,29,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167712352,493341167714992
30,30,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167814153,493341167816473
30,30,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167814153,493341167816473
31,31,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341167909193,493341167911553
31,31,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341167909193,493341167911553
32,32,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341168021674,493341168023994
32,32,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341168021674,493341168023994
33,33,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341168114755,493341168117315
33,33,"Agent 2",1,12931,12931,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,493341168114755,493341168117315
34,34,"Agent 2",1,12931,12931,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,493341168216435,493341168218595
