"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
16,16,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288317991,79760288320071
16,16,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288317991,79760288320071
17,17,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288405072,79760288407512
17,17,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288405072,79760288407512
18,18,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288484473,79760288486593
18,18,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288484473,79760288486593
19,19,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288563633,79760288565793
19,19,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288563633,79760288565793
20,20,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288638473,79760288640593
20,20,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288638473,79760288640593
21,21,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288709754,79760288712234
21,21,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288709754,79760288712234
22,22,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288779114,79760288784874
22,22,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288779114,79760288784874
23,23,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288855715,79760288857915
23,23,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288855715,79760288857915
24,24,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288924395,79760288926475
24,24,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288924395,79760288926475
25,25,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760288998236,79760289000676
25,25,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760288998236,79760289000676
26,26,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289072596,79760289074716
26,26,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289072596,79760289074716
27,27,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289144597,79760289146557
27,27,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289144597,79760289146557
28,28,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289216997,79760289219077
28,28,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289216997,79760289219077
29,29,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289285598,79760289288078
29,29,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289285598,79760289288078
30,30,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289358078,79760289360238
30,30,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289358078,79760289360238
31,31,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289427518,79760289429678
31,31,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289427518,79760289429678
32,32,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289498279,79760289500279
32,32,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289498279,79760289500279
33,33,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289569519,79760289571959
33,33,"Agent 2",1,2219,2219,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289569519,79760289571959
34,34,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289640360,79760289642400
34,34,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289640360,79760289642400
35,35,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_INSTS_LDS",0.00000000e+00,79760289710120,79760289712240
35,35,"Agent 2",1,2219,2219,1024,176,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,79760289710120,79760289712240
